k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,dD1,dD
2131,17.833333333333332,17.476666666666667,5.346938775510204,5.24,0.6122448979591837,0.6,14.285714285714286,14.0,0.0,0.0,0.0,47.91695999998865,46.95862079998887,1383.2,2604.9,1.0,47.91695999998865,0.0,922.4,0.01,0,1.0
2132,16.916666666666668,16.578333333333333,5.204081632653061,5.1,0.6122448979591837,0.6,12.244897959183675,12.0,0.0,0.0,0.0,47.91700799999944,46.95866783999945,1382.4,2604.9,-1.0,47.91700799999944,0.0,893.9,0.01,0,1.0
2133,17.166666666666668,16.823333333333334,4.591836734693878,4.5,0.6122448979591837,0.6,13.877551020408163,13.6,0.0,0.0,0.0,47.91705599999659,46.958714879996656,1381.6000000000001,2604.9,0.0,47.91705599999659,0.0,831.3,0.01,0,1.0
2134,18.25,17.885,5.061224489795919,4.96,0.6122448979591837,0.6,13.36734693877551,13.1,0.0,0.0,0.0,47.91710399999374,46.95876191999387,1380.8000000000002,2604.9,-1.0,47.91710399999374,0.0,857.5,0.01,0,1.0
2135,18.583333333333336,18.21166666666667,5.887755102040818,5.7700000000000005,0.6122448979591837,0.6,12.653061224489797,12.4,0.0,0.0,0.0,47.917152000004535,46.95880896000444,1380.0,2604.9,-1.0,47.917152000004535,0.0,840.5,0.01,0,1.0
2136,18.416666666666668,18.048333333333332,5.755102040816326,5.64,0.6122448979591837,0.6,13.877551020408163,13.6,0.0,0.0,0.0,47.917200000001685,46.95885600000165,1379.2,2604.9,0.0,47.917200000001685,0.0,854.5,0.01,0,1.0
2137,19.66666666666667,19.273333333333337,5.224489795918367,5.12,0.6122448979591837,0.6,14.69387755102041,14.4,0.0,0.0,0.0,47.917247999998835,46.95890303999886,1378.4,2604.9,0.0,47.917247999998835,0.0,773.2,0.01,0,1.0
2138,19.583333333333332,19.191666666666666,5.13265306122449,5.029999999999999,0.6122448979591837,0.6,17.755102040816325,17.4,0.0,0.0,0.0,47.917295999995986,46.958950079996065,1377.6000000000001,2604.9,1.0,47.917295999995986,0.0,752.9,0.01,0,1.0
2139,20.25,19.845,5.214285714285714,5.11,0.7142857142857142,0.7,14.285714285714286,14.0,0.0,0.0,0.0,47.917343999993136,46.95899711999327,1376.8000000000002,2604.9,-3.0,47.917343999993136,0.0,803.6,0.01,0,1.0
2140,19.25,18.865000000000002,5.73469387755102,5.62,0.6122448979591837,0.6,13.265306122448981,13.0,0.0,0.0,0.0,47.91739200000393,46.95904416000385,1376.0,2604.9,-1.0,47.91739200000393,0.0,769.8,0.01,0,1.0
2141,18.416666666666668,18.048333333333332,5.6938775510204085,5.58,0.7142857142857142,0.7,12.653061224489797,12.4,0.0,0.0,0.0,47.91744000000108,46.959091200001055,1375.2,2604.9,-1.0,47.91744000000108,0.0,859.8,0.01,0,1.0
2142,18.666666666666668,18.293333333333333,4.673469387755103,4.58,0.7142857142857142,0.7,12.755102040816327,12.5,0.0,0.0,0.0,47.91748799999823,46.95913823999827,1374.4,2604.9,-2.0,47.91748799999823,0.0,901.4,0.01,0,1.0
2143,18.333333333333332,17.966666666666665,4.693877551020408,4.6,0.6122448979591837,0.6,12.755102040816327,12.5,0.0,0.0,0.0,47.91753599999538,46.95918527999547,1373.6000000000001,2604.9,-2.0,47.91753599999538,0.0,953.5,0.01,0,1.0
2144,18.166666666666668,17.803333333333338,4.63265306122449,4.54,0.6122448979591837,0.6,12.959183673469386,12.7,0.0,0.0,0.0,47.91758399999253,46.95923231999268,1372.8000000000002,2604.9,-2.0,47.91758399999253,0.0,935.2,0.01,0,1.0
2145,18.000000000000004,17.64,4.581632653061225,4.49,0.6122448979591837,0.6,12.959183673469386,12.7,0.0,0.0,0.0,47.91763200000332,46.95927936000325,1372.0,2604.9,-1.0,47.91763200000332,0.0,940.6,0.01,0,1.0
2146,17.750000000000004,17.395000000000003,4.642857142857143,4.55,0.7142857142857142,0.7,14.285714285714286,14.0,0.0,0.0,0.0,47.91768000000047,46.959326400000464,1371.2,2604.9,0.0,47.91768000000047,0.0,949.7,0.01,0,1.0
2147,17.583333333333336,17.23166666666667,4.6224489795918355,4.529999999999999,0.6122448979591837,0.6,12.755102040816327,12.5,0.0,0.0,0.0,47.917727999997624,46.95937343999767,1370.4,2604.9,-1.0,47.917727999997624,0.0,965.6,0.01,0,1.0
2148,18.583333333333336,18.21166666666667,4.612244897959184,4.5200000000000005,0.7142857142857142,0.7,12.653061224489797,12.4,0.0,0.0,0.0,47.917775999994774,46.95942047999488,1369.6000000000001,2604.9,-2.0,47.917775999994774,0.0,1000.2,0.01,0,1.0
2149,16.833333333333332,16.496666666666666,4.561224489795919,4.470000000000001,0.6122448979591837,0.6,12.653061224489797,12.4,0.0,0.0,0.0,47.917823999991924,46.95946751999208,1368.8000000000002,2604.9,0.0,47.917823999991924,0.0,997.4,0.01,0,1.0
2150,16.5,16.17,4.836734693877552,4.74,0.7142857142857142,0.7,12.857142857142856,12.6,0.0,0.0,0.0,47.91787200000272,46.95951456000267,1368.0,2604.9,1.0,47.91787200000272,0.0,1003.3,0.01,0,1.0
2151,16.333333333333336,16.006666666666668,4.561224489795919,4.470000000000001,0.6122448979591837,0.6,12.959183673469386,12.7,0.0,0.0,0.0,47.91791999999987,46.959561599999866,1367.2,2604.9,-2.0,47.91791999999987,0.0,1007.1,0.01,0,1.0
2152,19.916666666666664,19.51833333333333,4.581632653061225,4.49,0.7142857142857142,0.7,14.591836734693878,14.3,0.0,0.0,0.0,47.91796799999702,46.95960863999708,1366.4,2604.9,-2.0,47.91796799999702,0.0,992.4,0.01,0,1.0
2153,19.833333333333332,19.436666666666664,4.836734693877552,4.74,0.6122448979591837,0.6,16.938775510204085,16.6,0.0,0.0,0.0,47.91801599999417,46.959655679994285,1365.6000000000001,2604.9,0.0,47.91801599999417,0.0,992.8,0.01,0,1.0
2154,20.25,19.845,5.091836734693878,4.99,0.6122448979591837,0.6,16.122448979591837,15.800000000000002,0.0,0.0,0.0,47.91806399999132,46.9597027199915,1364.8000000000002,2604.9,-1.0,47.91806399999132,0.0,951.3,0.01,0,1.0
2155,17.0,16.66,5.183673469387755,5.08,0.7142857142857142,0.7,13.265306122448981,13.0,0.0,0.0,0.0,47.91811200000211,46.95974976000207,1364.0,2604.9,0.0,47.91811200000211,0.0,758.3,0.01,0,1.0
2156,0.0,0.0,5.183673469387755,5.08,0.7142857142857142,0.7,12.551020408163266,12.3,0.0,0.0,0.0,47.91815999999926,46.95979679999928,1363.2,2604.9,20.0,47.91815999999926,0.0,624.7,0.01,0,1.0
2157,14.666666666666668,14.373333333333335,5.091836734693878,4.99,0.7142857142857142,0.7,12.653061224489797,12.4,0.0,0.0,0.0,47.91820799999641,46.95984383999648,1362.4,2604.9,-2.0,47.91820799999641,0.0,652.1,0.01,0,1.0
2158,18.000000000000004,17.64,5.071428571428572,4.970000000000001,0.7142857142857142,0.7,13.061224489795919,12.8,0.0,0.0,0.0,47.91825599999356,46.959890879993694,1361.6000000000001,2604.9,1.0,47.91825599999356,0.0,671.6,0.01,0,1.0
2159,0.0,0.0,5.142857142857143,5.04,0.7142857142857142,0.7,12.857142857142856,12.6,0.0,0.0,0.0,47.91830399999071,46.9599379199909,1360.8000000000002,2604.9,0.0,47.91830399999071,0.0,798.4,0.01,0,1.0
2160,17.5,17.15,5.173469387755103,5.07,0.7142857142857142,0.7,12.857142857142856,12.6,0.0,0.0,0.0,47.91835200001515,46.95998496001485,1360.0,2604.9,0.0,47.91835200001515,0.0,1038.3,0.01,0,1.0
2161,19.75,19.355,5.142857142857143,5.04,0.7142857142857142,0.7,15.306122448979592,15.0,0.0,0.0,0.0,47.918399999998655,46.960031999998684,1359.2,2604.9,0.0,47.918399999998655,0.0,882.3,0.01,0,1.0
2162,19.499999999999996,19.109999999999996,5.081632653061224,4.9799999999999995,0.7142857142857142,0.7,16.938775510204085,16.6,0.0,0.0,0.0,47.918447999995806,46.96007903999588,1358.4,2604.9,-1.0,47.918447999995806,0.0,687.9,0.01,0,1.0
2163,0.0,0.0,5.061224489795919,4.96,0.7142857142857142,0.7,16.122448979591837,15.800000000000002,0.0,0.0,0.0,71.91849599999841,70.48012607999844,1357.2,2604.9,3.0,71.91849599999841,0.0,646.4,0.01,0,1.0
2164,17.083333333333336,16.74166666666667,5.030612244897959,4.93,0.7142857142857142,0.7,14.285714285714286,14.0,0.0,0.0,0.0,47.9185679999955,46.96019663999559,1356.4,2604.9,5.0,47.9185679999955,0.0,917.3,0.01,0,1.0
2165,0.0,0.0,5.122448979591838,5.0200000000000005,0.7142857142857142,0.7,14.795918367346939,14.5,0.0,0.0,0.0,47.91861599999265,46.9602436799928,1355.6000000000001,2604.9,23.0,47.91861599999265,0.0,448.3,0.01,0,1.0
2166,16.083333333333332,15.761666666666667,5.1938775510204085,5.09,0.6122448979591837,0.6,14.795918367346939,14.5,0.0,0.0,0.0,47.9186639999898,46.960290719990006,1354.8000000000002,2604.9,0.0,47.9186639999898,0.0,477.6,0.01,0,1.0
