k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,"sBY,sSL",xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,w
61,0.0,0.0,1.5851063829787233,1.49,0.5319148936170213,0.5,12.553191489361703,11.8,-59999985.32978724,0.0,0.0,0.0,60000000.0,1890.8262383643023,1864.5600000000002,0.0,0.0,18.3,-1.0,10.76,0.0
62,0.0,0.0,1.776595744680851,1.67,0.5319148936170213,0.5,16.914893617021278,15.9,-59999980.77659575,0.0,0.0,0.0,60000000.0,1890.8073301019613,1864.5600000000002,0.0,0.0,20.4,-1.0,10.76,0.0
63,0.0,0.0,1.521276595744681,1.4300000000000002,0.5319148936170213,0.5,11.382978723404253,10.7,-59999986.56382981,0.0,0.0,0.0,60000000.0,1890.7884220286178,1864.5600000000002,0.0,0.0,15.199999999999998,-1.0,10.76,0.0
64,0.0,0.0,1.5319148936170213,1.44,0.5319148936170213,0.5,11.489361702127662,10.8,-59999986.44680852,0.0,0.0,0.0,60000000.0,1890.7695141443983,1864.5600000000002,0.0,0.0,14.2,-0.9,10.76,0.0
65,0.0,0.0,1.553191489361702,1.46,0.5319148936170213,0.5,9.787234042553191,9.2,-59999988.12765959,0.0,0.0,0.0,60000000.0,1890.7506064492563,1864.5600000000002,0.0,0.0,14.2,-0.9,10.76,0.0
66,0.0,0.0,1.4999999999999998,1.41,0.6382978723404256,0.6,10.000000000000002,9.4,-59999987.86170213,0.0,0.0,0.0,60000000.0,1890.731698943302,1864.5600000000002,0.0,0.0,14.2,-0.9,10.76,0.0
67,0.0,0.0,1.5425531914893615,1.45,0.6382978723404256,0.6,10.425531914893618,9.8,-59999987.39361704,0.0,0.0,0.0,60000000.0,1890.7127916262025,1864.5600000000002,0.0,0.0,16.3,-0.8,10.76,0.0
68,0.0,0.0,1.2127659574468086,1.1400000000000001,0.6382978723404256,0.6,14.042553191489361,13.2,-59999984.10638298,0.0,0.0,0.0,60000000.0,1890.693884498207,1864.5600000000002,1.0,0.0,17.3,-0.6,10.76,0.0
69,0.0,0.0,1.202127659574468,1.1300000000000001,0.6382978723404256,0.6,14.468085106382977,13.6,-59999983.69148939,0.0,0.0,0.0,60000000.0,1890.6749775594415,1864.5600000000002,0.0,0.0,18.3,-0.7,10.76,0.0
70,0.0,0.0,1.2446808510638296,1.17,0.6382978723404256,0.6,10.74468085106383,10.1,-59999987.372340426,0.0,0.0,0.0,60000000.0,1890.6560708095785,1864.5600000000002,0.0,0.0,13.2,-0.9,10.76,0.0
71,0.0,0.0,1.2553191489361704,1.1800000000000002,0.6382978723404256,0.6,9.148936170212766,8.6,-59999988.95744682,0.0,0.0,0.0,60000000.0,1890.637164248958,1864.5600000000002,0.0,0.0,13.2,-1.0,10.76,0.0
72,0.0,0.0,1.106382978723404,1.04,0.6382978723404256,0.6,9.361702127659575,8.8,-59999988.89361703,0.0,0.0,0.0,60000000.0,1890.618257877417,1864.5600000000002,0.0,0.0,13.2,-0.8,10.76,0.0
73,0.0,0.0,1.148936170212766,1.08,0.6382978723404256,0.6,10.106382978723405,9.5,-59999988.10638302,0.0,0.0,0.0,60000000.0,1890.599351694737,1864.5600000000002,1.0,0.0,15.3,-0.7,10.76,0.0
