k,gP1,dA2,sBY,bF,xFD1_xFC2,pBY,v,dD,dD2
5913,0,5,0,2148.493408,5.206164098,25.22,0,10,0
5914,0,6,0,2145.367561,6.247396918,25.22,0,12,0
5915,4,6,0,2144.241717,2.247396918,25.22,0,12,0
5916,14,6,0,2144.239573,0,25.22,0,12,7.4456
5917,26,5,0,2149.222628,-9.9704,25.22,0,10,10
5918,40,5,0,2160.928479,-23.416,25.22,0,10,10
5919,52,6,0,2176.896718,-31.9408,25.22,0,12,12
5920,63,9,0,2193.647141,-33.5052,25.22,0,18,18
5921,72,61,0,2193.644948,0,25.22,0,122,8.1488
5922,80,54,0,2193.642754,0,25.22,0,108,22.832
5923,95,81,0,2193.64056,0,25.22,0,162,10.238
5924,98,116,0,2182.246863,22.78300708,25.22,0,232,0
5925,95,106,0,2174.559341,15.37067888,25.22,0,212,0
5926,105,84,0,2174.557167,0,25.22,0,168,16.842
5927,105,46,0,2174.554992,0,25.22,0,92,54.842
5928,104,94,0,2174.552818,0,25.22,0,188,5.8816
5929,73,72,0,2173.566262,1.968763015,25.22,0,144,0
5930,77,91,0,2164.687995,17.75218659,25.22,0,182,0
5931,86,92,0,2159.789121,9.793419409,25.22,0,184,0
5932,79,83,0,2156.075799,7.422324032,25.22,0,166,0
5933,30,92,0,2123.176933,65.79341941,25.22,0,184,0
5934,31,90,0,2091.819333,62.71095377,25.22,0,180,0
5935,42,86,0,2068.04423,47.54602249,25.22,0,172,0
5936,36,41,0,2064.696889,6.690545606,25.22,0,82,0
5937,19,33,0,2057.014483,15.36068305,25.22,0,66,0
5938,14,7,0,2057.012426,0,25.22,0,14,6.4456
5939,0,7,0,2053.366054,7.288629738,25.22,0,14,0
5940,0,7,0,2049.719686,7.288629738,25.22,0,14,0
5941,0,7,0,2046.073321,7.288629738,25.22,0,14,0
5942,0,7,0,2042.42696,7.288629738,25.22,0,14,0
5943,0,6,0,2039.301219,6.247396918,25.22,0,12,0
5944,0,5,0,2036.696098,5.206164098,25.22,0,10,0
5945,0,5,0,2034.090979,5.206164098,25.22,0,10,0
5946,0,5,0,2031.485863,5.206164098,25.22,0,10,0
5947,0,5,0,2028.880749,5.206164098,25.22,0,10,0
5948,0,5,0,2026.275638,5.206164098,25.22,0,10,0
5949,0,5,0,2023.67053,5.206164098,25.22,0,10,0
5950,0,5,0,2021.065424,5.206164098,25.22,0,10,0
5951,0,5,0,2018.460321,5.206164098,25.22,0,10,0
5952,0,5,0,2015.855221,5.206164098,25.22,0,10,0
5953,0,5,0,2013.250123,5.206164098,25.22,0,10,0
5954,0,5,0,2010.645028,5.206164098,25.22,0,10,0
5955,0,5,0,2008.039935,5.206164098,25.22,0,10,0
5956,0,6,0,2004.914228,6.247396918,25.22,0,12,0
5957,0,6,0,2001.788525,6.247396918,25.22,0,12,0
5958,0,5,0,1999.183441,5.206164098,25.22,0,10,0
5959,0,6,0,1996.057744,6.247396918,25.22,0,12,0
5960,0,6,0,1992.932049,6.247396918,25.22,0,12,0
5961,0,6,0,1989.806358,6.247396918,25.22,0,12,0
5962,0,5,0,1987.201286,5.206164098,25.22,0,10,0
5963,4,6,0,1986.0756,2.247396918,25.22,0,12,0
5964,14,5,0,1986.073614,0,25.22,0,10,8.4456
5965,27,6,0,1990.037028,-7.9308,25.22,0,12,12
5966,40,5,0,2001.743038,-23.416,25.22,0,10,10
5967,54,6,0,2018.671836,-33.8616,25.22,0,12,12
5968,63,17,0,2023.422418,-9.5052,25.22,0,34,34
5969,72,64,0,2023.420394,0,25.22,0,128,5.1488
5970,79,66,0,2023.418371,0,25.22,0,132,9.8716
5971,83,66,0,2023.416347,0,25.22,0,132,13.7132
