k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pBY
80,0.0,0.0,1.1276595744680853,1.06,0.5319148936170213,0.5,11.914893617021276,11.2,48.680851063826886,35.106382978720504,32.99999999999727,0.0,0.0,1936.2,1864.5600000000002,0.0,-32.99999999999727,15.3,0.0,10.76
81,0.0,0.0,1.106382978723404,1.04,0.5319148936170213,0.5,13.297872340425533,12.5,46.85106382978723,31.914893617021278,30.0,0.0,0.0,1936.7,1864.5600000000002,0.0,-30.0,16.4,0.0,10.76
82,0.0,0.0,1.0851063829787235,1.02,0.5319148936170213,0.5,14.148936170212767,13.3,47.680851063829785,31.914893617021278,30.0,0.0,0.0,1937.2,1864.5600000000002,0.0,-30.0,15.3,0.0,10.76
83,0.0,0.0,1.2127659574468088,1.1400000000000001,0.5319148936170213,0.5,12.553191489361703,11.8,49.40425531914603,35.106382978720504,32.99999999999727,0.0,0.0,1937.75,1864.5600000000002,0.0,-32.99999999999727,16.3,0.0,10.76
84,0.0,0.0,1.7659574468085109,1.6600000000000001,0.5319148936170213,0.5,9.148936170212767,8.6,49.74468085107254,38.29787234043424,36.000000000008185,0.0,0.0,1938.3500000000001,1864.5600000000002,0.0,-36.000000000008185,13.3,-0.5,10.76
85,0.0,0.0,1.6276595744680853,1.53,0.5319148936170213,0.5,9.042553191489361,8.5,49.4999999999942,38.29787234041973,35.99999999999454,0.0,0.0,1938.95,1864.5600000000002,0.0,-35.99999999999454,14.2,-0.7,10.76
86,0.0,0.0,1.5425531914893618,1.45,0.5319148936170213,0.5,11.063829787234043,10.4,48.24468085106093,35.106382978720504,32.99999999999727,0.0,0.0,1939.5,1864.5600000000002,0.0,-32.99999999999727,15.3,-0.9,10.76
87,0.0,0.0,1.5319148936170215,1.44,0.5319148936170213,0.5,11.276595744680852,10.6,48.44680851064991,35.10638297873501,33.000000000010914,0.0,0.0,1940.0500000000002,1864.5600000000002,0.0,-33.000000000010914,15.3,-0.9,10.76
88,0.0,0.0,1.5425531914893618,1.45,0.5319148936170213,0.5,12.446808510638297,11.7,49.627659574465184,35.106382978720504,32.99999999999727,0.0,0.0,1940.6000000000001,1864.5600000000002,0.0,-32.99999999999727,15.3,-1.2,10.76
89,0.0,0.0,1.5106382978723405,1.42,0.5319148936170213,0.5,13.297872340425533,12.5,47.25531914893617,31.914893617021278,30.0,0.0,0.0,1941.1000000000001,1864.5600000000002,0.0,-30.0,17.4,-1.4,10.76
90,0.0,0.0,1.553191489361702,1.46,0.5319148936170213,0.5,14.574468085106384,13.7,48.57446808510639,31.914893617021278,30.0,0.0,0.0,1941.6000000000001,1864.5600000000002,0.0,-30.0,17.4,-1.6,11.0
91,0.0,0.0,1.0212765957446808,0.96,0.5319148936170213,0.5,9.25531914893617,8.7,49.106382978717605,38.29787234041973,35.99999999999454,0.0,0.0,1942.2,1864.5600000000002,0.0,-35.99999999999454,12.8,-1.8,11.0
92,0.0,0.0,1.0212765957446808,0.96,0.5319148936170213,0.5,11.063829787234043,10.4,47.72340425531625,35.106382978720504,32.99999999999727,0.0,0.0,1942.75,1864.5600000000002,0.0,-32.99999999999727,14.3,-1.7,11.0
93,0.0,0.0,1.0212765957446808,0.96,0.5319148936170213,0.5,11.170212765957446,10.5,47.829787234054166,35.10638297873501,33.000000000010914,0.0,0.0,1943.3000000000002,1864.5600000000002,0.0,-33.000000000010914,14.3,-1.6,11.0
